feature,mean_abs_shap
velocity_spike,1.3778956538429725
ip_risk_score,0.8733925916285026
txn_velocity_1h,0.7451956998079623
txn_velocity_24h,0.598119902114067
risk_score_internal,0.5521971130334483
very_new_account,0.3024502034528245
day_of_week,0.27340782173575257
corridor_risk,0.27170013653338093
account_age_days,0.25865142769149047
kyc_tier_low,0.22614783352664727
device_trust_score,0.22397056467632245
location_mismatch_True,0.2191693312141509
hour,0.1833748282337355
channel_web,0.16175713691937363
fee,0.13688838394998618
kyc_tier_standard,0.11841761356668835
amount_src,0.10953092840170049
dest_currency_USD,0.09988167346089082
amount_usd,0.08981069379783045
dest_currency_CNY,0.0775336012084107
dest_currency_GBP,0.07303836678388016
new_device_True,0.06547655227052478
dest_currency_PHP,0.060224726279892636
dest_currency_INR,0.058699612273245855
dest_currency_NGN,0.05843997828453839
channel_mobile,0.04920933656075519
late_night_hours,0.04832404325067703
dest_currency_EUR,0.04247423693861491
high_ip_risk,0.03123536083491981
dest_currency_MXN,0.025874987596658853
home_country_uk,0.022262752569478305
is_weekend,0.01940752119234484
ip_country_uk,0.013672541651281745
ip_country_us,0.010062707209984551
home_country_us,0.007132447419141615
ip_country_unknown,0.005941283445301618
low_device_trust,0.004417616656338619
chargeback_history_count,0.0
source_currency_USD,0.0
new_account,0.0
source_currency_GBP,0.0
